exact_age,male_death_probability,male_number_of_lives,male_life_expectancy,female_death_probability,female_number_of_lives,female_life_expectancy
0,0.006680,100000,76.10,0.005562,100000,80.94
1,0.000436,99332,75.62,0.000396,99444,80.39
2,0.000304,99289,74.65,0.000214,99404,79.43
3,0.000232,99259,73.67,0.000162,99383,78.44
4,0.000172,99235,72.69,0.000132,99367,77.46
5,0.000155,99218,71.70,0.000117,99354,76.47
6,0.000143,99203,70.71,0.000106,99342,75.47
7,0.000131,99189,69.72,0.000099,99332,74.48
8,0.000115,99176,68.73,0.000093,99322,73.49
9,0.000096,99164,67.74,0.000090,99313,72.50
10,0.000082,99155,66.74,0.000090,99304,71.50
11,0.000086,99147,65.75,0.000096,99295,70.51
12,0.000125,99138,64.76,0.000111,99285,69.52
13,0.000205,99126,63.76,0.000137,99274,68.52
14,0.000319,99106,62.78,0.000170,99261,67.53
15,0.000441,99074,61.80,0.000207,99244,66.54
16,0.000562,99030,60.82,0.000245,99223,65.56
17,0.000690,98975,59.86,0.000282,99199,64.57
18,0.000820,98906,58.90,0.000318,99171,63.59
19,0.000949,98825,57.95,0.000352,99139,62.61
20,0.001085,98731,57.00,0.000388,99105,61.63
21,0.001213,98624,56.06,0.000423,99066,60.66
22,0.001304,98505,55.13,0.000454,99024,59.68
23,0.001345,98376,54.20,0.000476,98979,58.71
24,0.001350,98244,53.27,0.000494,98932,57.74
25,0.001342,98111,52.34,0.000511,98883,56.77
26,0.001340,97980,51.41,0.000531,98833,55.79
27,0.001342,97848,50.48,0.000553,98780,54.82
28,0.001356,97717,49.55,0.000579,98726,53.85
29,0.001380,97584,48.62,0.000608,98668,52.88
30,0.001408,97450,47.68,0.000641,98608,51.92
31,0.001435,97313,46.75,0.000677,98545,50.95
32,0.001466,97173,45.82,0.000719,98479,49.98
33,0.001499,97031,44.88,0.000765,98408,49.02
34,0.001539,96885,43.95,0.000818,98332,48.06
35,0.001592,96736,43.02,0.000879,98252,47.10
36,0.001660,96582,42.08,0.000948,98166,46.14
37,0.001741,96422,41.15,0.001022,98073,45.18
38,0.001837,96254,40.22,0.001100,97972,44.23
39,0.001953,96077,39.30,0.001185,97865,43.27
40,0.002084,95889,38.37,0.001279,97749,42.32
41,0.002241,95689,37.45,0.001387,97624,41.38
42,0.002439,95475,36.53,0.001518,97488,40.43
43,0.002686,95242,35.62,0.001676,97340,39.50
44,0.002975,94986,34.72,0.001858,97177,38.56
45,0.003297,94704,33.82,0.002055,96997,37.63
46,0.003639,94392,32.93,0.002262,96797,36.71
47,0.003997,94048,32.05,0.002480,96578,35.79
48,0.004366,93672,31.17,0.002709,96339,34.88
49,0.004750,93263,30.31,0.002947,96078,33.97
50,0.005156,92820,29.45,0.003209,95795,33.07
51,0.005596,92342,28.60,0.003484,95487,32.18
52,0.006078,91825,27.76,0.003751,95155,31.29
53,0.006605,91267,26.93,0.004000,94798,30.40
54,0.007174,90664,26.10,0.004246,94418,29.52
55,0.007805,90013,25.29,0.004520,94017,28.65
56,0.008464,89311,24.48,0.004836,93593,27.77
57,0.009095,88555,23.69,0.005185,93140,26.91
58,0.009676,87750,22.90,0.005570,92657,26.04
59,0.010245,86901,22.12,0.006001,92141,25.19
60,0.010865,86010,21.34,0.006489,91588,24.34
61,0.011592,85076,20.57,0.007046,90994,23.49
62,0.012444,84090,19.81,0.007686,90352,22.65
63,0.013451,83043,19.05,0.008419,89658,21.83
64,0.014608,81926,18.30,0.009249,88903,21.01
65,0.015927,80729,17.57,0.010201,88081,20.20
66,0.017370,79444,16.84,0.011255,87182,19.40
67,0.018895,78064,16.13,0.012372,86201,18.62
68,0.020484,76589,15.43,0.013538,85135,17.84
69,0.022191,75020,14.75,0.014793,83982,17.08
70,0.024139,73355,14.07,0.016233,82740,16.33
71,0.026364,71584,13.40,0.017882,81397,15.59
72,0.028808,69697,12.75,0.019693,79941,14.87
73,0.031480,67689,12.12,0.021671,78367,14.16
74,0.034442,65558,11.49,0.023866,76669,13.46
75,0.037855,63300,10.89,0.026437,74839,12.77
76,0.041725,60904,10.30,0.029368,72860,12.11
77,0.045932,58363,9.72,0.032519,70721,11.46
78,0.050469,55682,9.17,0.035870,68421,10.83
79,0.055465,52872,8.63,0.039555,65967,10.21
80,0.061179,49939,8.10,0.043828,63357,9.61
81,0.067698,46884,7.60,0.048808,60580,9.03
82,0.074923,43710,7.11,0.054434,57624,8.47
83,0.082891,40435,6.65,0.060762,54487,7.93
84,0.091725,37084,6.21,0.067889,51176,7.41
85,0.101575,33682,5.78,0.075926,47702,6.91
86,0.112568,30261,5.38,0.084968,44080,6.44
87,0.124795,26854,5.00,0.095093,40335,5.99
88,0.138305,23503,4.64,0.106352,36499,5.56
89,0.153107,20253,4.30,0.118777,32617,5.17
90,0.169195,17152,3.99,0.132384,28743,4.80
91,0.186543,14250,3.70,0.147181,24938,4.45
92,0.205115,11592,3.44,0.163161,21268,4.13
93,0.224867,9214,3.20,0.180314,17798,3.84
94,0.245744,7142,2.98,0.198615,14588,3.58
95,0.266454,5387,2.79,0.217125,11691,3.34
96,0.286625,3952,2.62,0.235558,9153,3.13
97,0.305869,2819,2.47,0.253602,6997,2.94
98,0.323783,1957,2.34,0.270923,5222,2.76
99,0.339972,1323,2.22,0.287178,3807,2.60
100,0.356971,873,2.10,0.304409,2714,2.45
101,0.374819,562,1.99,0.322673,1888,2.31
102,0.393560,351,1.88,0.342033,1279,2.17
103,0.413238,213,1.78,0.362555,841,2.03
104,0.433900,125,1.68,0.384309,536,1.91
105,0.455595,71,1.59,0.407367,330,1.79
106,0.478375,39,1.50,0.431809,196,1.67
107,0.502293,20,1.41,0.457718,111,1.56
108,0.527408,10,1.32,0.485181,60,1.45
109,0.553778,5,1.24,0.514292,31,1.35
110,0.581467,2,1.17,0.545149,15,1.26
111,0.610541,1,1.09,0.577858,7,1.17
112,0.641068,0,1.02,0.612530,3,1.08
113,0.673121,0,0.95,0.649282,1,1.00
114,0.706777,0,0.89,0.688238,0,0.92
115,0.742116,0,0.83,0.729533,0,0.84
116,0.779222,0,0.77,0.773305,0,0.77
117,0.818183,0,0.71,0.818183,0,0.71
118,0.859092,0,0.66,0.859092,0,0.66
119,0.902047,0,0.60,0.902047,0,0.60
