Page,Part,Section,Unique ID,Question,Answer type,Answer worth
1,1,1A,,"When I have a problem to solve, I try to gather as much information as possible.",A,4 3 2 1 0
1,1,1A,,I try to think of many different approaches when I’m solving a problem.,A,4 3 2 1 0
1,1,1A,,"When I make a decision, I usually go with my ""gut feeling"" and I don’t think too much about the consequences.",A,0 1 2 3 4
1,1,1B,,Living for the moment is less important to me than planning for a good future.,A,4 3 2 1 0
2,1,1B,,I spend a lot of time thinking about how what I do today will affect me in the future.,A,4 3 2 1 0
2,1,1B,,I’d rather save money for an important purchase than spend it now on something unimportant.,A,4 3 2 1 0
2,1,1C,,I will give up what I want today to get what I want in the future.,A,4 3 2 1 0
2,1,1C,,I finish my homework on or before the due date.,A,4 3 2 1 0
3,1,1C,,I try to save money in case of an emergency.,A,4 3 2 1 0
3,1,1C,,It’s hard for me to resist buying things I can’t afford.,A,0 1 2 3 4
3,2,2A,,"When my parents buy me things, I try to “pay them back"" by helping them out.",A,4 3 2 1 0
3,2,2A,,I feel personal responsibility when spending my parents' money.,A,4 3 2 1 0
3,2,2A,,I don’t care if other people have more money than I do.,A,4 3 2 1 0
4,2,2A,,I think it’s important to save money for things I want to buy or have.,A,4 3 2 1 0
4,2,2A,,I think it’s important to save money for my education and my future.,A,4 3 2 1 0
4,2,2A,,Buying things makes me happy.,A,0 1 2 3 4